ISOLATE	Address	GENT	predicted_phenotype
0797A	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0797A.fasta	0	0
0797C	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0797C.fasta	0	0
0800A	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0800A.fasta	0	0
0811C	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0811C.fasta	0	0
0826B	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0826B.fasta	0	0
0827I	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0827I.fasta	0	0
0834B	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0834B.fasta	0	0
0836K	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0836K.fasta	0	0
0845J	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/0845J.fasta	0	0
SWEnt_1134	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/SWEnt_1134.fasta	0	0
SWEnt_1208	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/SWEnt_1208.fasta	0	0
SWEnt_1223	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/SWEnt_1223.fasta	0	0
Ent_0002	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/Ent_0002.fasta	0	0
Ent_0004	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/Ent_0004.fasta	0	0
Ent_0010	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/Ent_0010.fasta	0	0
Ent_0013	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/Ent_0013.fasta	0	0
Ent_0025	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/Ent_0025.fasta	0	0
Ent_0032	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/Ent_0032.fasta	0	0
Ent_0081	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/Ent_0081.fasta	0	0
Ent_0086	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/Ent_0086.fasta	0	0
Ent_0179	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/Ent_0179.fasta	0	0
Ent_0182	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/Ent_0182.fasta	0	0
Ent_0189	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/Ent_0189.fasta	0	0
Ent_0202	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/Ent_0202.fasta	0	0
Ent_0238	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/Ent_0238.fasta	0	0
Ent_0261	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/Ent_0261.fasta	0	0
Ent_0269	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/Ent_0269.fasta	0	0
Ent_0270	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/Ent_0270.fasta	0	0
Ent_0276	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/Ent_0276.fasta	0	0
Ent_0277	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/Ent_0277.fasta	0	0
Ent_0332	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/Ent_0332.fasta	0	0
Ent_0336	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/Ent_0336.fasta	0	0
EntR_0001	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/EntR_0001.fasta	0	0
EntR_0008	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/EntR_0008.fasta	0	0
EntR_0041	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/EntR_0041.fasta	0	0
EntR_0150	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/EntR_0150.fasta	0	0
EntR_0158	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/EntR_0158.fasta	0	0
EntR_0171	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/EntR_0171.fasta	0	0
EntR_0182	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/EntR_0182.fasta	0	0
EntR_0183	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/EntR_0183.fasta	0	0
EntR_0190	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/EntR_0190.fasta	0	0
EntR_0194	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/EntR_0194.fasta	0	0
G109-2	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/G109-2.fasta	0	0
G127E-2	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/G127E-2.fasta	0	0
G138E-2	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/G138E-2.fasta	0	0
G149-3	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/G149-3.fasta	0	0
G42-1	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/G42-1.fasta	0	0
G69E-3	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/G69E-3.fasta	0	0
G81-1	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/G81-1.fasta	0	0
G85-2	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/G85-2.fasta	0	0
H102-1	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/H102-1.fasta	0	0
H112E-1	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/H112E-1.fasta	0	0
H134E-2	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/H134E-2.fasta	0	0
H136-3	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/H136-3.fasta	0	0
H22-1	/storage8/erkia/Enterococcus_CA_TESTSET/Genomes/H22-1.fasta	1	0
